Unibet_ID,Unibet_URL,Unibet_Name,Fotmob_URL,Fotmob_Name,Match_Type,Country/Region
2000055538,https://www.unibet.com.au/betting/sports/filter/football/brazil/brasileirao_serie_c,Brasileirao Serie C,https://www.fotmob.com/leagues/8971,Serie C,Different Name,Brazil
2000059106,https://www.unibet.com.au/betting/sports/filter/football/brazil/brasileirao_serie_d,Brasileirao Serie D,https://www.fotmob.com/leagues/9464,Serie D,Different Name,Brazil
1000093998,https://www.unibet.com.au/betting/sports/filter/football/brazil/copa_do_brasil,Copa do Brasil,https://www.fotmob.com/leagues/9067,Copa do Brasil,Exact Match,Brazil
2000050561,https://www.unibet.com.au/betting/sports/filter/football/argentina/liga_profesional_argentina,Liga Profesional Argentina,https://www.fotmob.com/leagues/112,Liga Profesional,Different Name,Argentina
1000442572,https://www.unibet.com.au/betting/sports/filter/football/argentina/primera_b_nacional,Primera B Nacional,https://www.fotmob.com/leagues/8965,Primera B Nacional,Exact Match,Argentina
2000087788,https://www.unibet.com.au/betting/sports/filter/football/argentina/torneo_federal_a,Torneo Federal A,https://www.fotmob.com/leagues/9213,Primera B Metropolitana & Torneo Federal A,Different Name,Argentina
2000056748,https://www.unibet.com.au/betting/sports/filter/football/argentina/copa_argentina,Copa Argentina,https://www.fotmob.com/leagues/9305,Copa Argentina,Exact Match,Argentina
1000345237,https://www.unibet.com.au/betting/sports/filter/football/austria/bundesliga,Bundesliga,https://www.fotmob.com/leagues/38,Bundesliga,Exact Match,Austria
1000094965,https://www.unibet.com.au/betting/sports/filter/football/belgium/jupiler_pro_league,Jupiler Pro League,https://www.fotmob.com/leagues/40,First Division A,Different Name,Belgium
1000358593,https://www.unibet.com.au/betting/sports/filter/football/belgium/challenger_pro_league,Challenger Pro League,https://www.fotmob.com/leagues/264,First Division B,Different Name,Belgium
1000094961,https://www.unibet.com.au/betting/sports/filter/football/belgium/beker_van_belgie,Beker van Belgie,https://www.fotmob.com/leagues/149,Belgian Cup,Different Name,Belgium
1000094975,https://www.unibet.com.au/betting/sports/filter/football/czech_republic/first_league,First League,https://www.fotmob.com/leagues/122,1. Liga,Different Name,Czech Republic
1000154221,https://www.unibet.com.au/betting/sports/filter/football/czech_republic/national_football_league,National Football League,https://www.fotmob.com/leagues/253,FNL,Different Name,Czech Republic
1000095645,https://www.unibet.com.au/betting/sports/filter/football/japan/j1-league,J1-League,https://www.fotmob.com/leagues/223,J. League,Different Name,Japan
1000152623,https://www.unibet.com.au/betting/sports/filter/football/japan/j2-league,J2-League,https://www.fotmob.com/leagues/8974,J. League 2,Different Name,Japan
2000067441,https://www.unibet.com.au/betting/sports/filter/football/japan/j3-league,J3-League,https://www.fotmob.com/leagues/9136,J. League 3,Different Name,Japan
1000094112,https://www.unibet.com.au/betting/sports/filter/football/mexico/liga_mx,Liga MX,https://www.fotmob.com/leagues/230,Liga MX,Exact Match,Mexico
1000451251,https://www.unibet.com.au/betting/sports/filter/football/mexico/liga_de_expansion_mx,Liga de Expansion MX,https://www.fotmob.com/leagues/8976,Liga de Expansión MX,Different Name,Mexico
1000385219,https://www.unibet.com.au/betting/sports/filter/football/poland/ekstraklasa,Ekstraklasa,https://www.fotmob.com/leagues/196,Ekstraklasa,Exact Match,Poland
1000348167,https://www.unibet.com.au/betting/sports/filter/football/poland/i_liga,I Liga,https://www.fotmob.com/leagues/197,1 Liga,Different Name,Poland
1000152705,https://www.unibet.com.au/betting/sports/filter/football/south_korea/k-league_1,K-League 1,https://www.fotmob.com/leagues/9080,K League 1,Different Name,South Korea
2000064655,https://www.unibet.com.au/betting/sports/filter/football/south_korea/k-league_2,K-League 2,https://www.fotmob.com/leagues/9116,K League 2,Different Name,South Korea
2000051288,https://www.unibet.com.au/betting/sports/filter/football/south_korea/k-3_league,K-3 League,https://www.fotmob.com/leagues/9537,K League 3,Different Name,South Korea
1000095062,https://www.unibet.com.au/betting/sports/filter/football/turkey/super_lig,Süper Lig,https://www.fotmob.com/leagues/71,Süper Lig,Exact Match,Turkey
1000305993,https://www.unibet.com.au/betting/sports/filter/football/turkey/1__lig,1. Lig,https://www.fotmob.com/leagues/165,1. Lig,Exact Match,Turkey
1000095063,https://www.unibet.com.au/betting/sports/filter/football/usa/mls,MLS,https://www.fotmob.com/leagues/130,MLS,Exact Match,USA
2000074865,https://www.unibet.com.au/betting/sports/filter/football/usa/nwsl__w_,NWSL (W),https://www.fotmob.com/leagues/9134,NWSL,Different Name,USA
2000055612,https://www.unibet.com.au/betting/sports/filter/football/usa/usl_championship,USL Championship,https://www.fotmob.com/leagues/8972,USL Championship,Exact Match,USA
1000095346,https://www.unibet.com.au/betting/sports/filter/football/estonia/premium_liiga,Premium Liiga,https://www.fotmob.com/leagues/248,Premium liiga,Different Name,Estonia
2000055068,https://www.unibet.com.au/betting/sports/filter/football/faroe_islands/premier_league,Premier League,https://www.fotmob.com/leagues/250,Premier League,Exact Match,Faroe Islands
1000095713,https://www.unibet.com.au/betting/sports/filter/football/ecuador/liga_pro,Liga Pro,https://www.fotmob.com/leagues/246,Serie A,Different Name,Ecuador
1000251645,https://www.unibet.com.au/betting/sports/filter/football/egypt/premier_league,Premier League,https://www.fotmob.com/leagues/519,Premier League,Exact Match,Egypt
1000095155,https://www.unibet.com.au/betting/sports/filter/football/chile/primera_chile,Primera Chile,https://www.fotmob.com/leagues/273,Primera Division,Different Name,Chile
1000439335,https://www.unibet.com.au/betting/sports/filter/football/chile/primera_b,Primera B,https://www.fotmob.com/leagues/9126,Primera B,Exact Match,Chile
1000338400,https://www.unibet.com.au/betting/sports/filter/football/china/super_league,Super League,https://www.fotmob.com/leagues/120,Super League,Exact Match,China
