Unibet_ID,Unibet_Name,Fotmob_ID,Fotmob_Name,Match_Type,Country/Region,Is_Verified
2000131375,Primera RFEF 2,8968,Primera Federación,Different Name,Spain,true
2010133830,League Cup,10270,League Cup,Exact Match,Egypt,true
2010133908,World Cup 2026,77,World Cup,Different Name,International,false
2010203832,AFC Champions League 2,9469,AFC Champions League Two,Exact Match,International,false
2010205606,Europa Cup (W),11129,UEFA Women's Europa Cup,Different Name,International,false
1000095061,"Türkiye kupasi",151,"Cup Grp. A",Different Name,Turkey
2000054642,"Isthmian League Premier Division",8947,"Isthmian Premier Division",Different Name,England
2000054642,"Isthmian League Premier Division",8947,"Isthmian Premier Division",Different Name,England
1000259859,"Cup",9941,"Cup",Exact Match,Egypt
1000193401,"Challenge Cup",179,"Challenge Cup Final Stage",Different Name,Scotland
1000355768,"Regionalliga West",512,"Regionalliga West",Exact Match,Germany
2000079608,"Serie C Girone B",147,"Serie C",Different Name,Italy
2000079609,"Serie C Girone C",147,"Serie C",Different Name,Italy
2000131374,"Primera RFEF 1",8968,"Primera Federación",Different Name,Spain
2000079608,"Serie C Girone B",147,"Serie C",Different Name,Italy
2000079609,"Serie C Girone C",147,"Serie C",Different Name,Italy
2000131374,"Primera RFEF 1",8968,"Primera Federación",Different Name,Spain
2000079609,"Serie C Girone C",147,"Serie C",Different Name,Italy
2000056483,"Serie A (W)",10178,"Serie A Femminile",Different Name,Italy
2000079608,"Serie C Girone B",147,"Serie C",Different Name,Italy
2000079609,"Serie C Girone C",147,"Serie C",Different Name,Italy
1000436337,"Eredivisie (W)",10289,"Eredivisie Vrouwen",Different Name,Netherlands
2000131374,"Primera RFEF 1",8968,"Primera Federación",Different Name,Spain
2000079609,"Serie C Girone C",147,"Serie C",Different Name,Italy
2000054642,"Isthmian League Premier Division",8947,"Isthmian Premier Division",Different Name,England
2000050126,"National League North",8944,"National League North",Exact Match,England
2000052846,"Southern League Premier Division",8947,"Southern Premier Division Central",Different Name,England
2000079609,"Serie C Girone C",147,"Serie C",Different Name,Italy
2000131374,"Primera RFEF 1",8968,"Primera Federación",Different Name,Spain
1000094816,"Segunda RFEF 1",9138,"Segunda Federación",Different Name,Spain
1000094819,"Segunda RFEF 4",9138,"Segunda Federación",Different Name,Spain
2000093575,"Premier League",9066,"Premier League",Exact Match,Tanzania
2000054642,"Isthmian League Premier Division",8947,"Isthmian Premier Division",Different Name,England
2000050126,"National League North",8944,"National League North",Exact Match,England
2000052846,"Southern League Premier Division",8947,"Southern Premier Division Central",Different Name,England
2000079609,"Serie C Girone C",147,"Serie C",Different Name,Italy
2000131374,"Primera RFEF 1",8968,"Primera Federación",Different Name,Spain
1000094816,"Segunda RFEF 1",9138,"Segunda Federación",Different Name,Spain
1000094817,"Segunda RFEF 2",9138,"Segunda Federación",Different Name,Spain
1000094819,"Segunda RFEF 4",9138,"Segunda Federación",Different Name,Spain
